ID CUITAN;KALIMAT CUITAN
115;Misal ada tantangan harus menyendiri selama seminggu di rumah gue pasti kalah, gue ga bisa sendiri, harus ketemu banian orang baru gue seneng.
116;Gue berani kok kalo harus sekelompok sama orang orang yang baru gue kenal di kerjaan gue, gue seneng makin banyak kenal sama orang jadi makin banyak temen kan.
117;Kalau main ice skating bareng sama temen temen tuh seru banget lagiii, walaupun awalnya gak bisa akhirnya bisa lancar karena banyak temen kita yang bakal ajarin kita.
118;Hari ini ada training wajib buat anak anak magang di kantor gue, asik bangeeet, gue suka banget kalo ada acara seru seruan gini, pasti banyak orang yang ikutan kan. 
119;Rumah gue hari ini rameee banget karena lagi ada acara halal bihalal lebaran buat keluarga besar dari nyokap gue, seneng banget ketemu banyak orang abru, banyak sepupu juga yang udah lama gue ga ketemu. 
120; Kata temen temen, di grup ini gue yang paling banyak omong dan paling cerewet, mungkin karna gue extrovert ya orangnya.
121;Gue malah seneng tiap diajak nyokap gue ke acara keluarga, ato acara temen temennya, gue seneng banget bisa ketemu orang banyak.
122;Hari ini gue ikut lomba pidato di sekolah, dan gue seneng ternyata gue lancar ngomongnya, ga gugup sama sekali di depan banyak orang.
123;Gue gak betah sama sekali kalau harus disuruh diem dirumah terus, gud senengnya kalo ketemu banyak orang, main sama banyak orang.
124;Misal ada tantangan harus menyendiri selama seminggu di rumah gue pasti kalah, gue ga bisa sendiri, harus ketemu banian orang baru gue seneng.
125;Weekend ini agenda kalian apa? Ajak gue keluar rumah pleasee, soalnya gue males banget kalo harus sendirian di rumah, mendingan gue ketemu banyak orang aja deh rame rame. 
126;Semakin banyak gue ikut grup arasan gue makin seneni, walopun cuma grup nongkrong nongkrong dang juga gapapaaa…asalkan rame karena makin rame gue makin seneeeeng
127;Gue paling seneng tampil jadi pembicara, seneng kalo bisa tampil dan perform di depan banyak orang.
128;Kata orang orang gue paling cocok jadi MC soalnya gue talkative, dan pinter ngomong depan banyak orang.
129; Sehari hari gue dikenal banyak omong dan paling suka ngobrol ngobrol sama tetangga, ahahahaha.
130;Jalan hidup emang gak ada yang tahu, tapi kita harus tetap optimis dan berusaha, jemput rejeki dengan banyak banyak bersosialisasi. Makanya gue seneng kalo kenalan dengen banyak orang baru!
131;Gue seneng banget peergi ke salon bareng temen temen, ramean gitu kan, jadi gak sepi, gue benci banget yang namanya sepi!
132;Detik ini gue baru sadar, que orangnya ekstrovert banget! Gue suka keramaian!
133;Horee akhirnya bisa jalan ramean ke mall bareng temen temen, cenen banget gue!!!!!
134;Gue suka posting foto bareng temen temen gue kalo kita lagi jalan bareng, jangan sampe momen momen yang menyenangkan itu terlewatkan!
135;Jangan sampe momen momen yang membahagiakan sama temen temen gue terlupakan begitu aja, harus gue abadiin kegiatan kegiatan seru yang gue lakuin bareng temen temen gue!
136;Eh kalian tau gak, banyak trend baru loh di instagram, ayookk kita bikin bareng, gue juga mau ajakin semua temen temen gue! Seru bangeeetttt!!!!!
137;Banyak yang ajakin gue taun baruan ke Ancol, gak sabar banget pasti seru banget taun baruan rame rame disana.
138;Tadi seru banget sih, ikut acara arisan perdana sama ibu ibu komplek, banyak kenal sama tetangga tetangga baru disini.
139;Acara ngedadak gini tetep seru sih, justru jadi lebih seru karena banyak yang ikutan!
140;Belanja oleh oleh gini seru banget deh, tempatnya rame banyak orang, banyak barang yang lucu lucu, makanan yang enak enak banget juga. Happy banget pokoknya!!!
141;Liburan bareng keluarga dan sepupu sepupu ke Singapur, seneng banget ramean gini karena udah lama banget ga liburan bareng.
142;Ada tempat sushi baru deket rumah gue, besok ajakin temen temen gue ramean makan disana ah…
143;Weekend ini gue ada rencana glamping sama temen-temen kampus gue pasti seru banget, tempat glampingnya baru buka, pasti banya orang yang dateng deh!
144;Berburu sunset di pantai pantai di Indonesia tuh menyenangkan banget, apalagi kalo ngelakuinnya bareng bareng temen, atau keluarga besar. 
145;Momen ulang tahun gue suka, momen lebaran gue suka, momen arisan gue juga suka, apalagi momen reunian, makin banyak orang yang ikut ngumpul, jadi makin seru kan..
146;Hal yang paling gue nikmatin adalah malem malem pulang kerja, nongkrong di salah satu café bareng temen temen, sambil dengerin live music nya.
147;Kata orang sih ya, ga ada gue ga rame! Mau acara apapun itu katanya kalo gue dateng, bakal jadi lebih seru suasananya.
148;Acara gathering kantor emang seruu bangeett, boleh bawa family, jadi banyak orang ngumpul makin seru deeehhhh…
149;Ngapain liburan kalo dirumah doang gak seru, mending kumpul bareng temen temen, bisa berenang bareng, piknik di taman bareng, nyobain makan di restoran baru rame rame. Seru kan!!!
150;Gue sih gak masalah kalo tiba tiba ditodong harus ngasih speech di acara gathering ato reunian. Gue seneng malah, jadi pusat perhatian! Hehe..
151;Mendingan dapet kamar hotel buat berdua sekalian deh, daripada gue harus nginep sendiri di satu kamar semaleman..
152;Bakal tiap hari mampir ke mall, soalnya daerah tempat kos gue sepi bett dan gue ga betah yang sepi sepi, kudu ada temen dan kudu ke tempat rame setiap hari!
153;Pas wisata ke Bali liburan kemarin, ketemu beberapa orang yang sama sama dari Bandung, akhirnya kita jadi barengan deh. Senengnya dapet temen temen baru..
154;Mau chat siapa lagi yaaa, yang bisa gue ajak nobar ke bioskop besok? Udah sepuluh orang nih…tapi masih bisa nambah lagi keknya yang ikutan
155;Mendambakan kehidupan dan dunia yang dipenuhi dengan orang orang yang penuh kasih ke sesama..
156;Bosen di rumah terus mending ntar malem nonkrong rame rame sama temen temen!
157;Woy lucu lucu banget deh pameran baju anak kemarin, udah liat belum? Gue kesana ramean bareng temen temen, seru banget lagi!!
158;Menghabiskan sisa waktu di hari Minggu dengan piknik bersama teman teman, weekend-ku menyenangkan sekali!
159;Hari ini gue seneng banget karna ntar malen ada acara reuni akbar kampus gue..asik banget nih ntar bisa ketemu temen temen lama gue..
160;Jarang stress karna banyak temen yang bisa diajak berkegiatan bareng, belanja belanja, shopping atau cuma sekedar nongkrong nongkrong di kafe..
161;Gak masalah gue dulu sering ikut ortu gue pindah rumah, harus pindah pindah sekolah pula, justru seru sering dapet temen temen baru di tempat tinggal yang baru.
162;Semua masalah bisa diselesaikan, yang penting tetep jalan dan makan enak sama temen temen..
163;Hidup cuma sekali, jangan ragu nikmatilah hidup, lakukan hal hal yang menyenangkan bareng temen. YOLO!!
164;Gak pernah ngerasa kesepian karna tetangga tetangga kamar di kosan gue semua kompak, solid, kita sering kemana mana bareng.
165;Acaranya ngedadak tapi suka jadi lebih seru dibanding yang udah direncanain..tiba tiba malah banyak orang yang dateng!!!
166;Gue sih seneng banget, ya, kita udah WFO lagi kayak biasa..bosen banget kerja sendirian WFH di rumah.
167;Seperti biasa, hari ini ngopi bareng temen di warung kopi langgananku..eh tiba tiba yang lain pada datang nyamperin, jadi banyak temen yang dateng senneg banget deh..
168;Pernah gak sih lu kesepian sendiri di kosan? Gak enak bangeeett, mendingan rame rame di kosan sama temen temen, walopun sesek karena kamar kosan kepenuhan juga gapapa!!!
169;Daripada nangis mulu di rumah abis putus, mending pergi ke luar party sama temen temen gak sih???!!!!!
170;Aku beneran gapapa ditinggal sama ortu, asal di rumah ada saudara atau temen temen yang bisa nemenin aku.
171;Bahagia banget banyak yang dateng ke syukuran wisuda akuuuuuu….
172;Aku sama teman teman dekatku dari dulu gak pernah pisah, selalu main bareng wakopun kita semua beda beda sekolah. Seru banget deh pokoknya!!!
173;Deket rumah ada kafe enak, kursinya lucu, besok coba lagi kesana ah, ajakin temen temen yang belum pernah.
174;Lima jam gak kerasa ya kalo lagi ngobrol sama temen temen, ngumpul ngumpul nongkrong di kafe..
175;Secinta cintanya gue dirumah gue bakal lebih seneng keluar rumah jalan jalan sama temen temen gue deh, beneran!!
176;Malas ngapa-ngapain kalo gak sama temen, pokoknya gue kalo kerja atau main tetep harus ada temen!!!
177;Gapapa aman aja gue sih asalkan ada temen gue bisa ngapain aja, mau jalan sejauh apa juga hayu.
178;Sejak kapan diem di rumah jadi hal yang menyenangkan? Buat gue sama sekali nggak, mending keluyuran deh sama temen temen.
179;Dunia ini bakal sepi kalau gak ada temen temen yang selama ini temenin gue kemana-mana dan ngapa-ngapain bareng.
180;Ngerjain tugas di coffee shop bareng temen temen, seru banget deh..mana bisa disini seharian, asik pokoknya!!!
181;Support system terbaik adalah punya temen yang banyak..
182;Excited banget nyari hotel buat nginep pas nanti liburan bareng temen temen gue..
183;Pengen jadi konglomerat biar bisa traktir temen temen gue tiap hari, party party, hepi hepi terus..
184;Adek gun bontar lagi ulang tahun, dikasih apa ya? Sama haus ngerencanain party juga nih..asik kan ntar pasti seru banget!!
185;Hidup tuh indahhhhh banget kalo punya banyak temen..
186;Aku ingin bahagia, hidup kaya raya, dikelilingi banyak saudara dan teman teman..
187;Bahagia itu sederhana, bisa setiap saat liburan bareng temen temen..
188;Lebih memilih makan sederhana asal bareng temen temen daripada nongkrong di cafe fancy sendirian doang..
189;Dulu waktu kuliah tanggal tua duit habis tetep ceria dan bahagia karna satu kontrakan bareng temen temen melarat semua juga hahahahaaa
190;Ya Tuhan jadikanlah aku dan teman temanku lulus bareng tahun ini, supaya kami tetap bisa bareng-bareng sampai kapanpun.
191;Gak usah di private dong kalau kita punya akun instagram atau X, biar otomatis aja bisa banian yang follow kan seru!!!
192;Daripada independent sendiri gue mending sharing ke temen temen gue, siapa tau makin banyak orang nanti makin banyak juga yang bantuin, kan…
193;Takut ngerepotin tapi daripada gue gak bisa selesei kalo ngerjain sendiri, mendingan gue bareng bareng kerja kelompok sama temen deh…
194;Ya Allah sibukkanlah aku dengan berbagai kegiatan dan acara dengan teman temanku, supaya tidak terasa waktu dan tidak kesepian..
195;Excited banget mau makan di restoran baru, nyobain menu menu barunya.
196;Daripada sedih sedih lebih baik kita membuat momen indah bersama.
197;Akan kuhadapi semuanya asalkan bareng bareng temen.
198;Kalo udah mumet gue bakal istirahat kerja, cari temen buat liburan rame rame..
199;"Tengah malem di coffee shop masih rame banget gini, seneng deh…
"
200;Terimakasih ya buat semua yang udah dateng ke acara ulang tahun gue..seneng deh bisa rayain rame rame gini..
201;Ya Tuhan aku rela kok tabungan menipis gapapa asal tetep bisa liburan rame rame bareng temen temenku ini selamanyaaaaa.....
202;Seneng banget tadi gue habis ke acara pentas sekolah gue yang dulu akhirnya bisa ketemu sama orang-orang baru dan orang lama yang gue kenal
203;malam ini kayaknya bakal jadi malam yang luar biasa bareng temen temen gue, rencana gue bakal jalan-jalan lihat city light jakarta bareng sama mereka
204;ga sabar bgt gue, buat dateng barbequean di malam tahun baru nanti, udah gue nantiin dari lama. dan juga bisa kumpul bareng sama temen gue
205;ada yang pengin ngopi bareng hari ini ga? kalo ada mending kita ngopi bareng yukk. daripada gue di coffeshop sendiri, ya walopun nanti dsana bakal ketemu temen
206;suka banget kalau di tempat yang rame, suasananya bikin meriah dan asikk. ga membosankan kaya dirumah krn sendirian
207;minggu pagi kayanya enak nih jogging di taman dalam komplek. ada yang mau ikut? jadikan minggu kalian itu produktif gaes, jangan bermalas-malasan
208;tadi habis ada acara bareng keluarga besar, seru banget akhirnya bisa ngumpul dan ngobrol lama sama mereka. lumayan kangen lama yg sudah terobati
209;entah kenapa kalau gue habis ketemu orang baru gue selalu merasa ada cerita yang menarik disetiap pertemuan hehe
210;habis pulang nonton konser, rame banget tadi, ketemu temen-temen juga di konser. asik banget deh, jadi pengin nonton konser lagi. infokan konser yang bakal digelar gaes
211;suka banget nongkrong di café dan kenalan sama orang-orang baru disitu
212;semangat banget habis diskusi sama temen-temen bahas liburan bareng 
213;ada yang mau jalan-jalan hari ini? gue boleh ikut ga gaes. bosen banget di kosan sendirian ga betah
214;kalian yg jarang ketemu sama orang, mending kalian bersosialisasi deh, percaya ga percaya sosialisasi bisa buat hidup jadi lebih senang loh gaiss
215;temen gue kalau ngajak jalan mesti selalu dadakan tapi gue selalu siap dadakan buat jalan-jalan. karena gue selalu suka jalan-jalan hehe
216;kebersamaan dgn orang-orang selalu membuatku semangat hihi
217;gaes ada film baru yang mau rilis loh, denger-denger si filmnya bagus juga. kalian ada yang mau ikut nonton bareng aku ga?
218;malam minggu mau nge-grill bareng sama temen lama, gasabar banget
219;besok mau hangout sama temen-temen, ada yang mau ikut?
220;pulang dari kajian, dapat temen baru asik banget
221;malam ini bakal ada rapat himpunan, seneng bgt akhirnya ketemu temen-temen himpunan lagi, walaupun rapatnya bakal lama huhu
222;ada yang mau ke alun-alun kota sore ini?
223;suka banget sama suasana pasar kalau pagi hari
224;ga ada yang bikin seneng, kecuali dateng ke acara reunian
225;suka deh kalau ada acara outdoor yang ramai
226;gabisa tidur nih, besok ikut acara gathering kantor can't waitt
227;siang ini ada workshop, bakal dapet relasi baru, asikk
228;pagi ini gue olahraga bareng teman SMP, kalian bareng siapa?
229;weekend ku jalan-jalan ke tempat wisata bareng keluarga
230;diundang acara lounching produk baru dari usaha temen
231;habis yoga tadi pagi diajak teman, fresh bangett
232;mengisi waktu libur dengan jalan-jalan ke mall
233;jadi perwakilan sekolah buat hadir di acara bersih-bersih lingkungan, ketemu sama anak sekolah lain, nambah temen banget
234;tadi ke pasar malam rame banget, banyak jajanan yg dijual
235;rapat bisnis tadi siang, banyak membawa inspirasi dari orang-orang yang sudah lama dalam dunia bisnis
236;bertemu banyak orang dalam acara donor darah
237;siap untuk menghadiri acara bedah buku, besok pagi
238;tadi di bis denger orang cerita tentang pacarnya yang selingkuh, gue jadi pengin ikut nimbrung deh
239;abis cerita ke temen gue, kalo tadi di kampus gue ketemu sama orang yang udah lama gua suka hihi
240;tadi gue diundang ke acara ulangtahun nya mantan dan gua hadir disana, agak gimana si tapi gue seneng krn gue ketemu sama temen-temen gue juga
241;guys, ada yang mau nemenin gua hangout gaa?
242;gue abis reunian dan ketemu temen-temen lama gua, gilaa nostalgia abiss
243;lagi jalan-jalan di mall, rame banget gais, seru dehh
244;seneng banget deh gua mau diajakin hiking sama temen-temen gue.
